pid,power
521,0.0
490,0.0
484,0.0
467,0.0
462,0.0
454,0.0
452,0.0
447,0.0
440,0.0
437,0.0
436,0.0
434,0.0
430,0.0
428,0.0
425,0.0
421,0.0
417,0.0
411,0.0
410,0.0
402,0.0
401,0.0
400,0.0
396,0.0
394,0.0
393,0.0
392,0.0
390,0.0
387,0.0
385,0.0
377,0.0
376,0.0
372,0.0
366,0.0
364,0.0
360,0.0
356,0.0
346,0.0
0,0.0
